"Subject","event_no","instruction","valence","SCR_mean_instruction","SCR_mean_stimulus","log_SCR_mean_instruction","log_SCR_mean_stimulus"
50,8,"Upregulate","Negative",0.995256227105209,0.990180045469958,-0.00475506029615585,-0.00986848827770526
50,9,"Downregulate","Neutral",0.998962740735337,1.00219686192977,-0.00103779759034171,0.00219445235695806
50,9,"Downregulate","Negative",0.994724276959526,0.992210916278003,-0.00528968880861271,-0.00781957708137234
50,9,"Upregulate","Neutral",1.00242019004294,1.00460905512095,0.00241726609973253,0.00459846595130395
50,9,"Upregulate","Negative",1.00410955082821,1.0340721895846,0.00410112968772909,0.0335045894950662
50,10,"Downregulate","Neutral",1.02453437311011,1.00860774513103,0.0242382392419557,0.00857090972185099
50,10,"Downregulate","Negative",1.00488227063164,1.01158024590048,0.00487039099907551,0.0115137080434071
50,10,"Upregulate","Neutral",0.990700664142121,1.00666909224437,-0.00934284462675316,0.0066469522300416
50,10,"Upregulate","Negative",0.98287037398432,0.975801736157963,-0.0172780352980204,-0.0244958523870175
50,11,"Downregulate","Neutral",0.996189771486073,0.998284092295954,-0.00381750592620809,-0.00171738155991186
50,11,"Downregulate","Negative",1.02784864577063,1.01981888961125,0.0274679244526798,0.0196250523260225
50,11,"Upregulate","Neutral",0.991878474656097,0.985723193368585,-0.00815468458866105,-0.0143797007421926
50,11,"Upregulate","Negative",0.996586084236333,0.992205362156199,-0.00341975647099786,-0.00782517481997628
50,12,"Downregulate","Neutral",1.00236030977742,0.998322411492305,0.0023575286217006,-0.00167899723502605
50,12,"Downregulate","Negative",0.988451048678363,0.968080116511941,-0.0116161584086241,-0.0324404301387188
50,12,"Upregulate","Neutral",0.995821388434808,0.992508858263545,-0.00418736635959962,-0.00751934125805643
50,12,"Upregulate","Negative",1.01293936342744,0.990578234168313,0.0128563650617697,-0.00946643144137978
50,13,"Downregulate","Neutral",0.998074876574748,0.995856185940953,-0.00192697885702562,-0.00415242344856187
50,13,"Downregulate","Negative",1.03312494661208,1.01418777848631,0.0325881379169996,0.014088073908133
50,13,"Upregulate","Neutral",0.998066385194941,0.996411889689198,-0.00193548665150832,-0.00359456301857869
50,13,"Upregulate","Negative",0.990646000533201,0.981316899099381,-0.00939802286477573,-0.0188598347833735
50,14,"Downregulate","Neutral",0.984742943554157,0.973350901232462,-0.0153746428799164,-0.0270106233393707
50,14,"Downregulate","Negative",0.998645557305016,0.997273902327674,-0.00135536078158217,-0.00272982024351948
50,14,"Upregulate","Neutral",1.00537493721938,1.00457596544746,0.00536054379711502,0.00456552754776913
50,14,"Upregulate","Negative",1.00944418825355,1.01310947779703,0.00939987071793056,0.0130242922770722
50,15,"Downregulate","Neutral",1.01440523991088,1.01533432144742,0.0143024702147731,0.0152179389962001
50,15,"Downregulate","Negative",1.02152903419723,1.0058477558975,0.0213005579721815,0.00583072413909811
50,15,"Upregulate","Neutral",1.03321674700235,1.06509022825957,0.032676990976121,0.0630595169432247
50,15,"Upregulate","Negative",0.995621018646621,0.986928771585174,-0.00438859717415987,-0.0131574087331597
50,16,"Downregulate","Neutral",1.01455145729082,1.01624395460752,0.0144466008217924,0.0161134331365054
50,16,"Downregulate","Negative",1.00224498930643,0.99583854694735,0.00224247308316754,-0.00417013599588444
50,16,"Upregulate","Neutral",1.00172677264544,0.994055039679725,0.00172528348759679,-0.00596270194733902
50,16,"Upregulate","Negative",1.00226349732789,0.997089119789651,0.00226093947687488,-0.00291512506165193
51,1,"Downregulate","Neutral",0.998398014489467,0.996959193625983,-0.00160327006139211,-0.00304543901942104
51,1,"Downregulate","Negative",1.05132052096277,1.08417190883691,0.0500470130160732,0.0808164779317155
51,1,"Upregulate","Neutral",0.992971814525474,0.988688608127894,-0.00705299950347438,-0.0113758522169436
51,1,"Upregulate","Negative",1.03908199154538,1.01818034788979,0.0383376229067117,0.0180170614648246
51,2,"Downregulate","Neutral",0.995505529146375,0.989015546050985,-0.00450460135330531,-0.0110452285234263
51,2,"Downregulate","Negative",1.04404551518157,1.02386247645513,0.0431030854273454,0.0235822172614323
51,2,"Upregulate","Neutral",0.949496264668059,0.89683119537727,-0.0518236827364189,-0.108887622618128
51,2,"Upregulate","Negative",0.996308800173638,1.12876630834888,-0.00369802911513323,0.121125273794301
51,3,"Downregulate","Neutral",0.988799814455667,0.97823399483834,-0.0112633799246959,-0.0220063790391659
51,3,"Downregulate","Negative",1.01299100364502,1.00129519775104,0.012907344323871,0.00129435970597778
51,3,"Upregulate","Neutral",0.992799009441519,0.986343664676817,-0.00722704283446214,-0.0137504408099801
51,3,"Upregulate","Negative",0.996900905018935,0.991231426950736,-0.00310390712067285,-0.00880724320661522
51,4,"Downregulate","Neutral",0.988952391345506,0.97879780774629,-0.0111090866925165,-0.0214301871522446
51,4,"Downregulate","Negative",1.00022274251107,1.01448731413999,0.000222717707639461,0.0143833756614296
51,4,"Upregulate","Neutral",1.00088733873228,1.02279617299392,0.000886945279997838,0.022540222732469
51,4,"Upregulate","Negative",1.11722424881777,1.07173865360361,0.110847259845969,0.0692822396459847
51,5,"Downregulate","Neutral",1.01834623192948,1.17737120706334,0.0181799702544215,0.163284162636041
51,5,"Downregulate","Negative",0.996999462699267,0.997686647645504,-0.00300504793792964,-0.00231603228793849
51,5,"Upregulate","Neutral",0.99372366033433,0.988625960522227,-0.00629611868881223,-0.0114392185691483
51,5,"Upregulate","Negative",1.0123691385295,0.977686399495109,0.0122932657488009,-0.0225663152810755
51,6,"Downregulate","Neutral",0.998923086153309,0.995046895032779,-0.00107749413505846,-0.0049654122479498
51,6,"Downregulate","Negative",1.00009521053214,1.00127547741036,9.52059999059703e-05,0.00127466468004991
51,6,"Upregulate","Neutral",0.997633047550921,0.993615451689347,-0.00236975810914413,-0.00640501670670525
51,6,"Upregulate","Negative",0.998434286721562,0.99367808333775,-0.0015669402884046,-0.00634198460065788
51,7,"Downregulate","Neutral",0.987761506585226,0.975489570627293,-0.0123140004694726,-0.0248158102859202
51,7,"Downregulate","Negative",0.998468213982463,0.993925191659413,-0.00153296040116148,-0.00609333505771836
51,7,"Upregulate","Neutral",1.00182403314393,1.00509933046942,0.00182237161562289,0.0050863729150384
51,7,"Upregulate","Negative",0.996928427556845,0.993472436745721,-0.0030762994037415,-0.00654896096272396
51,8,"Downregulate","Neutral",0.994103443169577,0.988037891189593,-0.00591401016518984,-0.0120342305631948
51,8,"Downregulate","Negative",0.978465235724929,0.962344440569418,-0.0217700209070076,-0.0383828460697658
51,8,"Upregulate","Neutral",1.12856757300656,1.00857284809519,0.120949194088524,0.00853630990866648
51,8,"Upregulate","Negative",1.15045919541113,1.25697795997762,0.140161163033495,0.228710395625929
51,9,"Downregulate","Neutral",1.05077358215963,1.08141761098001,0.0495266378200617,0.0782727831854895
51,9,"Downregulate","Negative",1.0061197409965,1.07419479476255,0.0061010914298992,0.0715713527900369
51,9,"Upregulate","Neutral",0.998937435310181,0.913582797463058,-0.00106312961189222,-0.0903812696544946
51,9,"Upregulate","Negative",1.08616474061031,1.06557676312395,0.0826529048601996,0.0635162141885465
51,10,"Downregulate","Neutral",0.975945225565111,0.924332494378581,-0.0243488154911285,-0.0786834296671401
51,10,"Downregulate","Negative",0.982413806736307,0.97449998081662,-0.0177426675997562,-0.0258307797198784
51,10,"Upregulate","Neutral",0.979518186686473,0.976961216237512,-0.0206944744534517,-0.0233083245159196
51,10,"Upregulate","Negative",0.935184608385985,0.900674750337933,-0.0670113270585332,-0.10461107396172
51,11,"Downregulate","Neutral",1.01830865578321,1.05397133928441,0.0181430703883746,0.0525652574196662
51,11,"Downregulate","Negative",0.985945984121454,0.97788008581732,-0.0141537087184186,-0.0223682281034733
51,11,"Upregulate","Neutral",0.975313823680695,0.958032670152018,-0.0249959893317297,-0.0428733991376188
51,11,"Upregulate","Negative",0.980084195163792,1.04761291073795,-0.020116797575426,0.046514157685775
51,12,"Downregulate","Neutral",1.00130782251717,0.986928728888359,0.00130696806220194,-0.0131574519954663
51,12,"Downregulate","Negative",0.979252291504855,0.958253993097109,-0.0209659663778107,-0.0426424076577737
51,12,"Upregulate","Neutral",1.01403226170248,0.981676766461663,0.0139347209374991,-0.0184931832015292
51,12,"Upregulate","Negative",1.03154707919702,1.02356184778811,0.0310596939777121,0.0232885520298287
51,13,"Downregulate","Neutral",0.992026150529673,1.00645523040361,-0.00800581062367906,0.00643448463511014
51,13,"Downregulate","Negative",1.00170457958339,0.945452504597064,0.00170312843643722,-0.0560916252526327
51,13,"Upregulate","Neutral",0.997922226390585,0.989072080277976,-0.00207993517568375,-0.0109880680354341
51,13,"Upregulate","Negative",1.0352373997201,1.30101559234009,0.0346307721259071,0.263145184347163
51,14,"Downregulate","Neutral",1.00836613563178,1.07718366403063,0.00833133349063327,0.0743499166255271
51,14,"Downregulate","Negative",0.98509829773549,0.987870785122877,-0.0150138481338834,-0.0122033740758663
51,14,"Upregulate","Neutral",1.07538012839904,1.13094666836334,0.0726742068881805,0.123055041613106
51,14,"Upregulate","Negative",0.990594190643647,0.99597169176341,-0.00945032332768431,-0.0040364437257368
51,15,"Downregulate","Neutral",1.12843181292368,1.04391087500887,0.120828892697314,0.0429741170508801
51,15,"Downregulate","Negative",0.9686788588339,0.950538366242738,-0.0318221370535638,-0.0507267535939518
51,15,"Upregulate","Neutral",1.15669827658898,1.0832772700443,0.14556963338034,0.0799909556060841
51,15,"Upregulate","Negative",0.995819413883833,0.999184959920432,-0.00418934919804461,-0.000815372405318244
51,16,"Downregulate","Neutral",0.94180079452375,0.859794969227984,-0.0599614975504544,-0.151061326032696
51,16,"Downregulate","Negative",1.08100863764639,1.00500460190976,0.0778945290473372,0.00499212051524446
51,16,"Upregulate","Neutral",0.988888601963559,0.981633683696272,-0.0111735907473776,-0.0185370710801828
51,16,"Upregulate","Negative",1.03293796559443,0.984234946425585,0.0324071356667282,-0.0158906437374464
52,1,"Downregulate","Neutral",1.00034266799585,0.975890909962374,0.000342609298577525,-0.0244044713955992
52,1,"Downregulate","Negative",1.08480806402187,1.07898133088183,0.0814030718248482,0.0760173838851935
52,1,"Upregulate","Neutral",1.02907117848077,1.04462746487406,0.0286566269384846,0.0436603289145759
52,1,"Upregulate","Negative",0.993888446189129,1.04728710483908,-0.00613030579741813,0.0462031109541222
52,2,"Downregulate","Neutral",1.01215970690247,0.986411457262878,0.0120863715588272,-0.013681711969453
52,2,"Downregulate","Negative",1.017987802381,1.03550726741913,0.0178279361125394,0.0348914200994037
52,2,"Upregulate","Neutral",1.00063195249327,1.01229114705376,0.000631752895380813,0.012216224206237
52,2,"Upregulate","Negative",0.993635645606637,1.00326254756947,-0.00638469323845442,0.00325723700865117
52,3,"Downregulate","Neutral",0.99347865903621,1.02287008087812,-0.00654269780858563,0.0226124807404378
52,3,"Downregulate","Negative",0.992883136951583,1.00316424641704,-0.00714230871901811,0.00315925072496785
52,3,"Upregulate","Neutral",0.992455595155889,1.0020382758852,-0.00757300781876239,0.00203620141931549
52,3,"Upregulate","Negative",1.05626228209464,1.0639869265355,0.054736527640231,0.0620231037532679
52,4,"Downregulate","Neutral",0.989231752197277,0.976941217355735,-0.0108266449850141,-0.0233287952225765
52,4,"Downregulate","Negative",0.991479357168195,1.00515863197883,-0.00855715103912776,0.00514537182018942
