"Subject","event_no","Stimulus","EMG_zyg_mean"
43,1,"Angry",0.0414960284370245
43,1,"Happy",0.143035094305965
43,1,"Neutral",-0.466878504590007
43,2,"Angry",0.103158140399026
43,2,"Happy",-0.0907008579756386
43,2,"Neutral",-0.0763028847732241
43,3,"Angry",-0.246201698492172
43,3,"Happy",-0.10126879473914
43,3,"Neutral",0.00593687446802948
43,4,"Angry",-0.12179743806737
43,4,"Happy",-0.020758082841275
43,4,"Neutral",-0.00503632834122744
44,1,"Angry",-1.44188418248775
44,1,"Happy",0.00207517776912394
44,1,"Neutral",0.650244564170656
44,2,"Angry",-0.0707368380938893
44,2,"Happy",0.0966666283174225
44,2,"Neutral",0.0218155648661492
44,3,"Angry",0.0288272880522754
44,3,"Happy",-1.26988601721417
44,3,"Neutral",0.0299897685006152
44,4,"Angry",-0.0041642772997646
44,4,"Happy",-0.0805250265389579
44,4,"Neutral",0.13011858987879
45,1,"Angry",0.00328318273724131
45,1,"Happy",-0.00360557567424378
45,1,"Neutral",0.0487339578154857
45,2,"Angry",0.00494672592009907
45,2,"Happy",-0.00363176917911446
45,2,"Neutral",-0.00161582209932404
45,3,"Angry",-0.00711587708418332
45,3,"Happy",-0.00615633073503705
45,3,"Neutral",-0.00341600440043492
45,4,"Angry",0.00180774997675847
45,4,"Happy",-0.0166495412738556
45,4,"Neutral",-0.00637837144888434
46,1,"Angry",-0.00243531916620919
46,1,"Happy",0.0122675274308711
46,1,"Neutral",0.0422077368757559
46,2,"Angry",-0.00123849793410741
46,2,"Happy",-0.0209092610282225
46,2,"Neutral",0.00392087732240189
46,3,"Angry",0.000403664283781338
46,3,"Happy",0.00202001687522367
46,3,"Neutral",0.000664340750577939
46,4,"Angry",-0.00126503366243032
46,4,"Happy",0.00515757135610907
46,4,"Neutral",0.047898085435922
47,1,"Angry",-0.0103044698607975
47,1,"Happy",0.00222706542119729
47,1,"Neutral",0.0081521468018681
47,2,"Angry",0.0115821017311603
47,2,"Happy",0.00179667640179748
47,2,"Neutral",-0.00286612082094605
47,3,"Angry",-0.0111925175190076
47,3,"Happy",-0.00153137340729461
47,3,"Neutral",-0.00763133828979806
47,4,"Angry",-0.00639500769735628
47,4,"Happy",-0.00802550848007834
47,4,"Neutral",-0.00320879516523415
48,1,"Angry",-0.318857210500959
48,1,"Happy",-0.0808504713277481
48,1,"Neutral",-0.873265225047627
48,2,"Angry",-0.0107067859412619
48,2,"Happy",0.00334175998134294
48,2,"Neutral",-0.00535480495155189
48,3,"Angry",-0.346890904874657
48,3,"Happy",-0.472554524505694
48,3,"Neutral",-0.664159903878691
48,4,"Angry",0.0291830854990188
48,4,"Happy",-0.76657124563076
48,4,"Neutral",0.00661534981747718
48,5,"Angry",-0.318535975811668
48,5,"Happy",0.29137501709105
48,5,"Neutral",-0.254021916860236
48,6,"Angry",-0.319881468006431
48,6,"Happy",-0.956671644080455
48,6,"Neutral",-0.371729897586412
48,7,"Angry",-0.47358035723956
48,7,"Happy",-0.578812127836479
48,7,"Neutral",-0.0113460120270448
48,8,"Angry",0.0331394061110693
48,8,"Happy",-0.102021181975228
48,8,"Neutral",-0.60224616825541
48,9,"Angry",0.418604802563833
48,9,"Happy",0.838651304613113
48,9,"Neutral",0.0401721386918518
48,10,"Angry",-0.447205244441503
48,10,"Happy",-0.00869408314744024
48,10,"Neutral",-0.0268261275755399
48,11,"Angry",-0.949623367883455
48,11,"Happy",-0.856947867794257
48,11,"Neutral",-0.0897714451183274
48,12,"Angry",0.316296002447079
48,12,"Happy",-0.407474392420262
48,12,"Neutral",-0.696784860954685
49,1,"Angry",-0.0289336117670436
49,1,"Happy",0.00572540925888954
49,1,"Neutral",-0.0421590123070933
49,2,"Angry",-0.0838515849257924
49,2,"Happy",0.0456499528541695
49,2,"Neutral",-0.0258956399152372
49,3,"Angry",0.00521421213407727
49,3,"Happy",-0.0895515385235563
49,3,"Neutral",-0.147813407261825
49,4,"Angry",-0.0844971874714843
49,4,"Happy",-0.0271746640760147
49,4,"Neutral",0.967142072472429
49,5,"Angry",-0.0111684806322568
49,5,"Happy",-0.0474819594942356
49,5,"Neutral",0.0507030210129908
49,6,"Angry",0.0404051832961051
49,6,"Happy",0.00116045895121944
49,6,"Neutral",-0.0764888040664233
49,7,"Angry",-0.0697258282924334
49,7,"Happy",-0.218526466390695
49,7,"Neutral",-0.039412585730192
49,8,"Angry",0.015268460826633
49,8,"Happy",0.0917083670536723
49,8,"Neutral",0.105232395073127
49,9,"Angry",-0.0213958055379475
49,9,"Happy",0.05096094293327
49,9,"Neutral",-0.0320557944546235
49,10,"Angry",0.046413342249823
49,10,"Happy",0.0390028400766174
49,10,"Neutral",0.0411556002474119
49,11,"Angry",0.066296053785705
49,11,"Happy",-0.0868601678759027
49,11,"Neutral",-0.00106058561577248
49,12,"Angry",-1.16215771428943
49,12,"Happy",0.0494143927455237
49,12,"Neutral",-0.0762989876680211
50,1,"Angry",0.00430017578860603
50,1,"Happy",-1.31263031662442
50,1,"Neutral",-0.00260121168445793
50,2,"Angry",-0.00203238453197955
50,2,"Happy",0.00826506873705855
50,2,"Neutral",-0.0493788810564952
50,3,"Angry",0.0100815458685692
50,3,"Happy",0.00799459726847849
50,3,"Neutral",0.000779434048926045
50,4,"Angry",-0.0437286684502477
50,4,"Happy",-0.0104061609648483
50,4,"Neutral",-0.106126200727411
50,5,"Angry",-0.00222963405014532
50,5,"Happy",-0.0081288274985644
50,5,"Neutral",0.00161832099657095
50,6,"Angry",0.00617502473662069
50,6,"Happy",0.0123031651061591
50,6,"Neutral",-0.023329268763887
50,7,"Angry",0.00258178884292492
50,7,"Happy",-0.00706215626730537
50,7,"Neutral",-0.00635577725350932
50,8,"Angry",0.0125525831939759
50,8,"Happy",0.103515586044828
50,8,"Neutral",0.0159110623407547
50,9,"Angry",-0.00547209337364975
50,9,"Happy",0.00171938656094726
50,9,"Neutral",0.00644111532993941
50,10,"Angry",0.00589868253018979
50,10,"Happy",-0.0102429439425646
50,10,"Neutral",-0.00920595613597141
50,11,"Angry",0.00949165908397236
50,11,"Happy",0.00248318640221348
50,11,"Neutral",0.00615457353809542
50,12,"Angry",-0.0212203768751161
50,12,"Happy",-0.0237841134629498
50,12,"Neutral",-0.00782167584767728
51,1,"Angry",0.0343008857872103
51,1,"Happy",-0.0825330086473354
51,1,"Neutral",0.025889479362951
51,2,"Angry",-1.38702363442472
51,2,"Happy",-0.125862055841998
51,2,"Neutral",-0.0133572800465234
51,3,"Angry",-0.116069508892743
51,3,"Happy",-0.0455469051680824
51,3,"Neutral",-1.36052714276918
51,4,"Angry",0.0560709658401543
51,4,"Happy",-0.183617217316149
51,4,"Neutral",-0.0177283779218028
51,5,"Angry",-0.0801279249864811
51,5,"Happy",-0.169967230743048
51,5,"Neutral",-0.0167264095258835
51,6,"Angry",-0.135970314168959
51,6,"Happy",-0.0689448183003162
51,6,"Neutral",-0.0965338137391902
51,7,"Angry",-0.102163037120214
51,7,"Happy",-0.02012006644683
51,7,"Neutral",-1.42861543891906
51,8,"Angry",0.0930832389248253
51,8,"Happy",-0.451407884534213
51,8,"Neutral",-0.21000017301555
51,9,"Angry",-0.113746139472393
51,9,"Happy",-0.0958863477534175
51,9,"Neutral",0.197499015243616
51,10,"Angry",-0.119258713715335
51,10,"Happy",0.0613353408857774
51,10,"Neutral",-0.16541096693454
51,11,"Angry",0.0129445790856659
51,11,"Happy",-0.0132275478908697
51,11,"Neutral",-0.0303522155872549
51,12,"Angry",NA
51,12,"Happy",-0.0583494276934071
51,12,"Neutral",0.0319853776317575
52,1,"Angry",-0.161496496291037
52,1,"Happy",0.104807250610566
52,1,"Neutral",-0.107906167102565
52,2,"Angry",-0.663947920713348
52,2,"Happy",0.0941438055496259
52,2,"Neutral",-0.119092962639583
52,3,"Angry",-0.268605848253198
52,3,"Happy",0.0196206982022982
52,3,"Neutral",0.252987382889478
52,4,"Angry",0.0267563446069042
52,4,"Happy",-0.0935833117869777
52,4,"Neutral",-1.48644680642417
52,5,"Angry",0.0128370295226864
52,5,"Happy",-0.0703541132093815
52,5,"Neutral",-0.137833727402214
52,6,"Angry",0.980653148853528
52,6,"Happy",-0.0223074695084752
52,6,"Neutral",-0.0287501067888082
